sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
605,2.733589,7.519585,10.253174,9.049717
606,1.858486,4.622389,6.480875,5.999003
607,1.703961,3.558336,5.262297,3.983141
608,2.924208,5.82496,8.749168,6.624439
609,2.860551,7.874009,10.73456,4.728969
610,0.982269,3.773053,4.755322,8.716845
611,1.55139,12.347383,13.898773,9.282788
612,6.552583,7.783687,14.33627,9.235379
613,3.348635,11.515377,14.864012,9.128194
614,4.641929,6.317409,10.959338,5.318449
615,1.10099,5.439685,6.540675,7.109702
616,1.394121,7.23105,8.625171,4.2635
617,10.882116,1.76655,12.648666,3.258735
618,2.197115,2.680315,4.87743,4.779491
619,3.519937,8.175666,11.695603,6.867471
620,1.05059,7.476106,8.526696,8.014132
621,5.272332,5.079872,10.352204,5.949057
622,0.70225,3.073068,3.775318,5.35582
623,1.856328,7.566179,9.422507,9.080508
624,0.771493,2.608944,3.380437,5.211775
625,0.675675,1.818519,2.494194,10.3456
